order_number,customer_id,gender,race,age,hh_income,zip_code,preferred_channel,preferred_device,coupon_shopper,discount_shopper,item_number,item_description,item_price,promo_price,promo_code,purchase_price,target_a,target_b
1,8262550b117c478a88540350bef845d0,F,0,60,49316,06010,0,0,1,1,7,Enhanced Pro Diet Booster,8.25,6.99,0,8.25,0,1
2,ae9dc2feb8b94674b396979867c7d88e,F,0,24,62192,11510,1,3,0,1,14,Calm Energy Fizzy Plus,37.75,12.99,1,12.99,1,0
3,1da925b88e914bf1b965f63315c0661c,F,0,25,48573,44312,1,3,0,1,22,Pant Alluronic Bio Plus,15.25,20.99,1,20.99,0,1
4,6f7fd367775048cf96d05a3ce5fee158,F,0,41,54965,08234,0,1,0,1,24,Slimmer Multi Low Fat Low Sodium,34.75,12.99,0,34.75,1,0
5,3eceac0c37c54705919fd662e4cd807f,F,0,41,44629,85365,0,3,0,1,12,Qualm Zen Plus Z,31.75,27.99,0,31.75,0,1
6,f42f79e64a0546e4bde000b2989f1c8e,F,0,60,42855,20735,0,0,1,1,8,Pant Alluronic Bio Plus,25.75,9.99,0,25.75,0,1
7,a0e2ef4058054faaac824229f1b28be4,F,0,36,32626,58078,0,2,0,1,24,Slimmer Multi Low Fat Low Sodium,35.75,12.99,0,35.75,0,0
8,fac33d1a25fa4678b79b4d693aaaecea,F,0,31,32626,30263,0,3,0,1,7,Qualm Zen Plus Z,11.95,20.99,0,11.95,0,0
9,36c9768bd83b4d628bd39ebb72fbfa75,F,0,25,55895,33604,1,3,0,1,14,Herbal Bio Organic Low Mass,37.75,20.99,1,20.99,1,0
10,2fa4e942052b4f679b3c8768b4b728c5,F,0,22,50476,44221,1,3,0,1,16,Tri Herb Plants Green,29.75,23.99,1,23.99,1,1
11,dc258b23c38c469599c9239df4953ea1,F,0,29,69048,01845,1,1,0,1,9,Fizzy Herb Tonic Plus,15.25,28.99,1,28.99,1,1
12,3c56ef859459433c9feb0a90b647b362,F,0,56,50791,11432,0,0,1,1,12,Reductive Fat Booster Bio,21.15,9.99,0,21.15,1,1
13,9b0e21513579475c92ef29af68bb5519,F,0,51,32626,39120,0,1,1,1,17,Herbal Tonic Hi Z Low Sodium Plus C,11.75,11.99,0,11.75,0,1
14,7d6138e00e2d40039cf869b583c07faa,F,0,30,69085,07424,0,3,0,1,10,Fizzy Herb Tonic Plus,15.75,6.99,0,15.75,1,0
15,7631f6df576047efbfc2f275e812d706,F,0,23,54965,08234,1,3,0,1,15,Multivision Bio Plus,25.75,23.99,1,23.99,1,1
16,f3bdf6a78e904356bab5404fab3dd69d,F,0,54,54878,33054,0,3,1,1,12,Reductive Fat Booster Bio,11.95,14.99,0,11.95,1,1
17,5380d378428f417a858d32a1aa0f4ee5,F,0,30,79147,30083,0,3,0,1,4,Herbal Bio Organic Low Mass,31.75,4.99,0,31.75,1,1
18,05b7222852cd4cd9be90d4f2ca6f70e4,F,0,68,42855,48101,0,0,1,1,13,Slimmer Multi Low Fat Low Sodium,29.25,20.99,0,29.25,0,1
19,17b344ef87da497faa94d69e4bef0c57,F,0,46,43852,45840,0,2,0,1,16,Pant Alluronic Bio Plus,35.75,9.99,0,35.75,0,0
